id,x,y
514,-3.76137,-0.721153
225,-4.31829,-1.0136
729,-4.54946,-0.571312
70,-4.78063,-0.129028
787,-4.2535,-0.444431
728,-3.95755,-0.31755
786,-4.37416,-0.0419906
705,-4.97056,-0.947752
853,-5.29669,-0.91483
224,-5.62282,-0.881907
852,-5.79487,-0.465559
704,-5.19466,-0.419742
831,-3.74054,-3.09622
237,-4.1096,-3.45433
319,-4.47867,-3.81243
709,-4.6632,-3.99148
39,-4.84773,-4.17053
555,-5.21679,-4.52863
47,-5.58586,-4.88673
307,-5.95492,-5.24483
597,-6.13945,-5.42388
16,-6.32398,-5.60293
596,-5.82823,-5.99594
306,-6.66749,-4.7146
73,-4.91323,-5.47176
999,-4.74507,-5.61801
337,-4.57691,-5.76427
865,-4.40875,-5.91053
46,-4.2406,-6.05678
864,-4.7114,-6.27424
633,-4.14287,-5.73364
967,-3.92585,-5.71832
336,-3.70883,-5.70301
966,-4.09866,-5.24614
632,-3.56069,-6.23073
998,-4.50885,-5.3511
111,-5.40221,-6.71697
267,-5.52445,-7.02827
163,-5.6467,-7.33958
581,-5.76894,-7.65088
72,-5.89119,-7.96218
580,-6.23194,-7.48221
659,-5.43484,-7.69539
393,-5.22298,-8.0512
162,-4.79925,-8.76283
513,-4.70611,-8.4701
392,-4.18925,-8.88899
857,-4.37316,-8.35607
512,-4.04021,-8.24205
856,-4.54372,-7.84203
658,-4.97286,-7.50222
807,-5.07737,-7.00205
266,-4.63029,-6.97583
806,-4.92433,-6.63928
707,-6.30154,-6.79333
110,-7.20086,-6.86969
849,-6.24887,-6.54138
706,-6.19621,-6.28942
848,-6.56029,-6.02492
554,-4.58275,-4.87809
931,-5.72643,-4.04929
77,-6.60513,-3.92805
105,-7.48383,-3.80681
119,-7.92318,-3.7462
38,-8.36253,-3.68558
449,-8.28848,-3.58631
211,-8.65378,-3.42643
118,-9.38437,-3.10667
755,-8.96059,-2.7656
845,-9.114,-2.43518
210,-9.26741,-2.10476
844,-8.73177,-1.94359
754,-9.73069,-1.94213
448,-8.90121,-4.04151
983,-7.5492,-4.21415
173,-7.61456,-4.62148
413,-7.67993,-5.02882
963,-7.71261,-5.23248
104,-7.74529,-5.43615
962,-8.22343,-5.34263
763,-7.62931,-5.28492
439,-7.57869,-5.54102
773,-7.52808,-5.79712
412,-7.47746,-6.05322
772,-8.01068,-5.97601
438,-6.93227,-6.06035
762,-7.1119,-5.20593
172,-8.72269,-4.73109
982,-7.9592,-4.25383
445,-7.04704,-3.52476
425,-7.48895,-3.12147
76,-8.37277,-2.31488
424,-7.1008,-2.68024
444,-6.56553,-3.07864
953,-5.6071,-3.86412
930,-5.48778,-3.67895
952,-5.84449,-3.3891
708,-4.37359,-4.41783
987,-4.63366,-3.48968
318,-4.78865,-3.16693
986,-4.52263,-2.89928
293,-3.63851,-3.76665
551,-3.40296,-3.92281
236,-3.16741,-4.07897
550,-2.65744,-3.97012
497,-3.76666,-4.27459
292,-3.89481,-4.78254
583,-3.52005,-4.65123
496,-3.27343,-5.02786
582,-2.92863,-5.56658
830,-3.37128,-3.35158
648,-2.23252,-3.54839
932,-2.54423,-2.51733
545,-1.93457,-2.58952
160,-1.8084,-2.05997
544,-2.09809,-1.76013
964,-1.68829,-3.7378
776,-1.1499,-2.90524
766,-0.249217,-3.3103
282,0.0830666,-2.62837
479,-0.95281,-1.98287
430,-1.24937,-2.15324
478,-1.42144,-1.33373
739,-0.195268,-1.31868
193,0.234464,-1.38735
417,0.664196,-1.45603
82,1.09393,-1.52471
416,0.577909,-2.11789
287,0.576682,-0.904981
957,0.747791,-0.663795
192,0.9189,-0.422608
956,0.293723,-0.462257
286,1.47228,-0.893712
738,-0.0383404,-1.79356
538,-0.06446,-0.755072
571,-0.925316,-0.206012
991,-1.10672,-0.246518
460,-1.28813,-0.287024
990,-1.20749,-0.832241
570,-1.04502,0.250149
490,0.0519909,-0.0479319
826,-1.00149,0.896894
277,0.703671,1.0966
379,1.30551,1.1449
699,1.60642,1.16905
45,1.90734,1.1932
51,3.11101,1.2898
823,3.41193,1.31395
179,3.71285,1.3381
199,4.01376,1.36225
7,4.31468,1.3864
499,5.51835,1.483
735,6.12019,1.5313
11,6.72202,1.5796
89,7.32386,1.6279
981,7.62478,1.65205
43,7.92569,1.6762
921,8.22661,1.70035
59,8.52753,1.7245
2,9.12937,1.7728
347,8.90791,0.857011
535,9.00301,0.640138
453,9.0981,0.423265
607,9.1932,0.206392
58,9.2883,-0.0104807
809,9.5575,-0.179849
606,9.9218,-0.566089
808,9.23069,-0.658
452,8.74496,-0.395194
534,8.5521,0.459094
495,9.39909,1.01466
531,9.64468,1.09349
346,9.89026,1.17232
530,9.7338,0.501822
494,9.78893,1.70366
920,8.08709,1.24208
95,8.47905,2.88567
259,8.75572,3.4904
42,9.0324,4.09513
547,9.15736,3.11546
645,9.35818,2.92799
258,9.559,2.74052
644,9.47508,2.1678
546,8.89603,2.52798
265,8.04875,3.73568
299,7.8336,4.16069
94,7.61845,4.5857
765,8.14709,4.60386
298,8.46057,5.04703
891,8.48838,4.61716
764,8.82968,4.63047
890,8.51712,4.13055
861,7.74094,3.51727
907,7.58703,3.40806
264,7.43313,3.29886
906,7.40518,3.57692
860,7.76789,2.84582
980,7.67978,2.13839
837,7.31829,1.21554
247,7.31272,0.803169
433,7.30716,0.390803
559,7.30437,0.184619
88,7.30159,-0.0215638
558,6.85599,-0.385608
905,6.95591,0.536685
432,6.60467,0.682567
904,6.18504,0.408174
246,7.99331,0.417998
836,6.98308,1.25283
325,6.6205,2.29487
749,6.56973,2.6525
103,6.51897,3.01013
869,6.46821,3.36776
357,6.41744,3.72539
679,6.36668,4.08302
29,6.31592,4.44066
127,6.11286,5.87118
487,6.0621,6.22881
239,6.01134,6.58645
345,5.96057,6.94408
10,5.90981,7.30171
344,5.6976,8.05733
238,6.857,7.1431
486,5.52649,5.96846
395,7.05073,5.94022
599,7.2852,5.95747
523,7.51967,5.97473
126,7.9886,6.00925
655,7.64718,5.65496
793,7.71094,5.49507
522,7.77469,5.33518
792,7.35749,4.98579
654,8.32267,5.49107
598,7.39207,6.72262
394,7.0082,5.31231
505,5.58629,4.50321
181,4.85667,4.56575
281,4.12705,4.6283
381,3.76224,4.65958
407,3.57983,4.67522
28,3.39743,4.69085
406,2.54028,4.41542
573,3.48801,5.03562
721,3.35089,5.22364
380,3.21377,5.41166
720,3.75038,5.52054
572,2.76741,5.30049
427,3.64544,4.35356
280,3.16384,4.07881
426,3.8438,3.72507
251,4.86725,5.15027
411,4.87254,5.44254
180,4.87783,5.7348
410,5.54536,5.36969
887,4.5377,5.53397
250,4.20815,5.91766
886,4.10714,5.22837
619,5.33649,4.22281
671,5.21158,4.08261
504,5.08668,3.94241
670,4.64602,3.61851
618,5.74894,3.69398
678,6.85846,4.62489
356,6.97832,3.95218
868,6.91526,3.43196
625,6.14393,3.00535
841,5.9564,3.00295
279,5.76888,3.00056
102,5.0188,2.991
669,5.35818,2.6821
821,5.15283,2.52287
278,4.94748,2.36364
825,4.82145,2.48997
820,4.49008,2.45707
824,4.67728,1.95763
668,5.5045,2.07523
840,5.68202,3.35487
624,6.01545,2.44198
748,6.98315,2.90785
324,7.36541,2.513
734,6.10449,2.0385
498,5.99788,0.90112
389,4.68014,0.471972
961,4.86287,0.0147569
79,5.0456,-0.442458
183,5.41106,-1.35689
913,5.59378,-1.8141
35,5.77651,-2.27132
641,5.95924,-2.72853
363,6.14197,-3.18575
41,6.50743,-4.10018
167,6.69016,-4.55739
53,6.87288,-5.01461
57,7.05561,-5.47182
263,7.14698,-5.70043
6,7.23834,-5.92904
262,7.93235,-5.96307
85,6.22396,-5.9973
613,5.80814,-6.26003
56,5.39231,-6.52277
651,5.59515,-6.03827
612,5.38217,-5.81651
650,4.80735,-6.09396
297,5.76497,-7.06334
737,5.53547,-7.59636
84,5.30597,-8.12939
736,5.1275,-7.28678
663,6.33307,-7.0049
743,6.61712,-6.97569
296,6.90117,-6.94647
742,7.21907,-6.61301
662,6.32089,-7.72634
877,7.39453,-4.85965
361,7.91617,-4.7047
927,8.43782,-4.54975
52,8.95946,-4.3948
926,8.27351,-3.9837
360,8.52125,-5.2051
876,7.49123,-5.29399
783,6.99957,-4.03943
923,7.15428,-3.78045
166,7.30899,-3.52146
922,7.16315,-3.15101
782,7.53086,-4.24884
187,5.42419,-4.29076
313,4.88257,-4.38605
485,4.61176,-4.4337
40,4.34095,-4.48135
484,4.11012,-5.06097
355,4.61441,-4.05008
421,4.48033,-3.8821
839,4.41329,-3.79811
312,4.34625,-3.71411
838,4.0665,-3.40313
420,3.601,-4.35072
354,5.18864,-3.60749
447,5.24688,-4.802
747,5.15822,-5.05762
186,5.06957,-5.31324
746,4.63238,-5.58503
446,5.83701,-5.38561
362,6.78399,-2.80001
917,5.7676,-2.96928
640,5.57596,-3.21003
916,5.47388,-2.71947
231,6.45186,-2.11974
87,7.1272,-1.96815
271,7.80255,-1.81657
34,8.47789,-1.66499
385,7.96839,-1.25835
579,8.05131,-0.979239
969,8.09277,-0.839683
270,8.13424,-0.700127
968,7.71169,-0.391271
578,8.72634,-1.24962
384,7.31428,-0.776179
779,7.71744,-2.10758
133,8.30768,-2.24701
201,8.89793,-2.38644
86,9.48817,-2.52587
471,8.81243,-2.90769
803,8.79106,-3.03801
489,8.76969,-3.16832
811,8.74831,-3.29863
200,8.72694,-3.42894
810,8.9448,-3.80233
488,7.98382,-3.60399
802,9.43393,-3.21453
470,8.29096,-2.89485
565,9.04127,-1.78035
132,9.77486,-1.31368
564,9.8134,-1.88421
778,7.58988,-2.94878
230,6.71658,-1.16219
912,5.03764,-1.52217
745,5.59674,-1.05665
525,5.78243,-0.756422
182,6.15381,-0.155956
524,5.59757,-0.196052
744,6.06853,-1.3249
221,4.71052,-0.824266
93,4.37545,-1.20607
78,3.70531,-1.96969
151,3.7542,-2.16313
253,3.44358,-2.64166
561,3.28827,-2.88093
889,3.21061,-3.00056
92,3.13295,-3.12019
888,2.81854,-3.33649
895,3.50572,-3.03319
560,3.72317,-3.18545
894,3.54239,-3.68576
285,2.96233,-2.49213
387,2.72171,-2.41737
252,2.48109,-2.3426
386,2.48606,-3.02415
769,2.70713,-2.3027
603,2.45194,-2.11326
785,2.19674,-1.92382
805,2.06914,-1.82911
959,2.00534,-1.78175
284,1.94154,-1.73439
958,1.52959,-1.54213
804,1.62346,-2.22839
784,1.95515,-1.30348
602,2.82724,-1.6988
768,3.09672,-2.04139
481,4.30839,-2.41099
771,4.58548,-2.53492
949,4.72402,-2.59688
150,4.86257,-2.65885
948,5.06095,-3.06806
770,4.41953,-3.01363
480,4.86842,-2.01944
437,4.15694,-0.597136
220,3.60335,-0.370006
436,3.33964,-0.983104
960,4.19113,0.18226
899,5.08901,0.438452
388,5.49788,0.404933
898,5.17518,0.916386
198,3.96761,2.37525
178,3.68005,0.354151
822,3.09036,0.86389
153,2.70814,2.36292
235,2.5067,2.89948
359,2.40599,3.16776
50,2.30527,3.43604
399,1.99087,3.23303
715,1.78331,3.26566
358,1.57575,3.29829
714,1.74748,2.83024
398,1.79972,3.87906
234,1.79132,2.12513
353,3.02268,2.87593
833,3.17996,3.13243
152,3.33723,3.38894
832,2.8588,3.60024
352,4.11453,3.12592
335,2.18968,0.0971749
509,2.33085,-0.450838
44,2.47202,-0.998851
871,2.15643,-0.657526
508,1.98201,-0.864214
870,1.80126,-0.363039
653,2.54258,0.2144
719,2.71903,0.273012
334,2.89548,0.331624
718,2.62237,0.719914
652,2.96366,-0.27883
698,1.8329,1.70748
665,1.15048,1.5385
903,1.07296,1.7353
378,0.995446,1.9321
902,1.43843,2.19135
664,0.56215,1.54788
501,0.713778,0.706631
627,0.718832,0.511646
276,0.723886,0.316662
626,0.203343,0.474379
500,1.29228,0.0919283
213,-1.01795,1.47127
174,-1.56716,1.38003
212,-2.61316,1.52491
758,-0.939463,2.05896
527,0.26906,2.42612
122,0.975621,2.72724
971,0.465741,2.80444
526,0.662422,3.18277
970,0.0308953,2.82472
697,-1.28095,2.86311
723,-1.73392,2.66967
54,-2.18689,2.47623
722,-1.54076,2.10286
696,-1.01091,3.48447
994,0.0490484,3.49931
373,0.0495121,4.46101
195,0.411524,4.54701
589,0.773536,4.63302
108,1.13555,4.71903
588,1.38974,4.23577
507,1.31921,4.77487
883,1.77305,4.8888
194,2.22689,5.00273
882,2.02878,4.31255
506,1.7592,5.4024
372,0.566483,3.81018
828,0.246445,5.15029
937,-0.766674,5.32259
203,-1.28335,5.14518
215,-1.80002,4.96777
897,-2.05836,4.87907
113,-2.3167,4.79036
143,-3.35004,4.43554
13,-4.38339,4.08072
605,-4.64173,3.99202
541,-4.90006,3.90331
129,-5.41674,3.7259
703,-5.93341,3.54849
19,-6.45009,3.37108
925,-6.70842,3.28238
301,-6.96676,3.19367
343,-7.2251,3.10497
23,-7.48343,3.01626
97,-8.00011,2.83885
165,-8.25844,2.75015
4,-8.51678,2.66144
503,-8.90789,2.48202
529,-9.23261,2.34796
851,-9.39497,2.28092
164,-9.55733,2.21389
850,-9.75197,1.71714
975,-9.30633,2.7008
528,-9.38006,3.05364
974,-9.11657,3.22779
502,-8.95874,1.82099
125,-8.321,3.79257
435,-8.48145,4.26943
96,-8.64189,4.74628
775,-8.84858,4.05256
434,-9.21572,3.8357
774,-8.93662,3.43857
929,-8.20835,4.18235
223,-8.09571,4.57213
819,-7.98306,4.96191
875,-7.92674,5.1568
124,-7.87042,5.35169
874,-8.10425,5.71506
818,-8.41866,5.31105
222,-7.24625,4.66244
928,-7.74971,4.00966
631,-8.04305,1.99781
63,-8.60267,0.979358
139,-9.16228,-0.0390947
717,-9.30219,-0.293708
441,-9.44209,-0.548321
22,-9.7219,-1.05755
440,-9.01652,-1.29983
716,-9.9764,-0.115341
757,-9.48047,0.549194
935,-9.63956,0.843339
138,-9.79866,1.13748
934,-9.26283,1.24112
756,-9.90394,0.362563
419,-8.04519,0.75759
131,-7.4877,0.535823
145,-6.93022,0.314055
341,-6.65148,0.203172
401,-6.51211,0.14773
863,-6.44242,0.120009
62,-6.37274,0.0922878
951,-6.53326,-0.110462
862,-6.62411,-0.340932
950,-6.23951,-0.427843
813,-6.04244,0.217275
400,-5.57277,0.28682
812,-5.66136,0.819477
340,-6.38093,1.01643
275,-7.32201,-0.103839
144,-7.7138,-0.521734
323,-7.48768,-0.735163
331,-7.57051,-1.05083
274,-7.65335,-1.36649
365,-7.10945,-1.28427
423,-6.87891,-1.401
711,-6.76365,-1.45936
330,-6.64838,-1.51772
710,-6.10607,-1.49526
575,-7.02511,-1.74435
725,-7.0982,-1.91602
422,-7.1713,-2.0877
724,-6.79149,-2.27077
574,-7.65271,-1.86608
364,-6.61662,-0.818841
519,-7.98813,-0.907508
693,-8.23835,-0.99368
322,-8.48858,-1.07985
692,-8.28336,-1.53926
518,-8.24785,-0.36975
130,-6.992,1.5254
418,-8.22262,0.177925
630,-7.64388,1.60644
342,-6.85431,2.16898
455,-6.86294,3.61615
300,-6.75913,4.03863
454,-7.27298,4.06036
924,-6.61372,2.85242
675,-5.76735,2.89392
135,-5.08461,2.41676
233,-4.74324,2.17818
217,-4.40187,1.9396
241,-4.06051,1.70102
291,-3.88982,1.58173
691,-3.80448,1.52208
18,-3.71914,1.46244
690,-3.19864,1.49988
290,-3.66242,0.780935
909,-3.58421,2.00744
240,-3.10792,2.31387
908,-3.40983,2.55893
327,-4.42094,1.28096
847,-4.43048,0.951641
216,-4.44001,0.622322
989,-4.70838,0.675293
846,-4.98628,0.398945
988,-5.27663,0.714279
326,-5.12176,1.02617
391,-4.35686,2.53863
232,-3.97047,2.89908
390,-4.70972,3.11639
295,-5.43262,1.8696
134,-5.78064,1.32244
667,-5.88804,1.81539
294,-6.34346,1.76117
666,-6.14093,2.31858
674,-5.26083,3.07124
702,-6.20941,3.88925
128,-6.25636,4.74527
540,-5.17243,4.56877
604,-4.21593,3.45441
713,-4.5672,5.12249
33,-4.75101,6.16427
591,-4.84291,6.68515
169,-4.93482,7.20604
727,-4.98077,7.46648
621,-5.02672,7.72692
12,-5.11863,8.24781
620,-5.91331,8.00923
726,-5.4963,7.17722
207,-4.22427,7.48164
475,-3.869,7.61945
168,-3.51373,7.75725
685,-3.54933,7.35824
474,-3.22966,7.09704
684,-3.73846,6.74518
377,-4.09842,7.97436
206,-3.97258,8.46708
567,-4.36116,8.2996
376,-4.6239,8.62484
566,-4.02233,9.13705
590,-4.28965,6.68097
269,-5.39507,6.2668
171,-6.03913,6.36934
429,-6.68319,6.47188
945,-7.00522,6.52315
32,-7.32726,6.57442
944,-6.99424,6.98067
817,-6.87394,6.02513
428,-7.06468,5.57838
816,-7.71116,5.97688
753,-6.12178,6.91083
170,-6.20443,7.45232
752,-6.62406,6.95382
469,-5.52557,5.83205
268,-5.65608,5.3973
549,-5.81895,5.82053
468,-6.11232,5.80901
731,-6.07808,5.5116
789,-6.20764,5.35714
548,-6.33721,5.20267
788,-5.71287,4.90843
730,-6.82746,5.07017
712,-3.98493,4.91818
157,-3.39266,5.00874
142,-3.43527,5.58193
843,-3.16525,5.28882
219,-2.93785,5.5689
309,-2.71044,5.84899
156,-2.48303,6.12907
615,-2.45486,6.2386
885,-2.39096,6.33601
629,-2.32706,6.43341
308,-2.19927,6.62822
628,-1.82049,6.87178
884,-2.09332,5.99262
614,-2.93561,6.64139
601,-3.28117,5.90475
218,-3.6245,6.24059
600,-3.98498,5.77909
842,-2.91759,4.99967
457,-2.74567,3.98425
689,-2.96016,3.58119
112,-3.17465,3.17813
688,-3.47521,3.66667
647,-2.55433,3.59125
456,-2.36299,3.19825
646,-1.89606,3.56986
896,-2.44498,5.27724
557,-1.57026,4.56304
673,-1.45538,4.36067
943,-1.39793,4.25949
214,-1.34049,4.1583
942,-1.56822,3.82778
873,-1.16937,4.47124
672,-0.883355,4.58181
872,-0.854496,4.12103
556,-1.87961,4.18025
893,-1.46223,5.62795
202,-1.64112,6.11072
892,-1.32948,6.30401
936,-0.831745,5.80773
405,0.368077,6.18025
919,0.661491,6.23913
196,0.954904,6.298
918,0.862852,6.71823
404,0.74341,5.44601
338,-0.747825,6.24341
184,-1.2351,7.1178
879,0.158601,7.064
472,0.473451,6.94049
878,0.346608,7.40758
329,0.694465,8.0475
49,1.51393,8.34501
333,2.3334,8.64251
563,2.74313,8.79127
14,3.15286,8.94002
562,3.2988,8.38785
577,2.26837,9.13968
332,2.20335,9.63685
576,1.68661,9.06906
65,2.40855,7.79676
977,2.63221,7.6597
99,2.85586,7.52263
121,3.07952,7.38557
48,3.30317,7.24851
371,3.1393,6.77085
835,3.15425,6.61716
467,3.1692,6.46348
120,3.19909,6.15612
466,2.78043,5.80192
834,2.721,6.55513
370,3.77068,6.45527
941,3.37804,7.6724
149,3.90022,7.82217
349,4.4224,7.97194
98,4.94458,8.12171
443,4.63527,8.34304
348,4.84815,8.71414
881,4.27729,8.63654
442,3.91931,8.93004
880,3.76144,8.47627
205,4.26988,7.32991
687,4.36229,7.20685
477,4.45471,7.08379
148,4.63954,6.83766
643,4.78739,6.77676
979,4.95373,6.62325
476,5.12007,6.46974
978,5.31088,6.92935
642,4.36374,6.37976
686,3.92835,6.90765
204,5.03533,7.38061
940,3.05616,8.01712
976,2.64731,8.13889
261,2.22096,6.92126
801,2.12716,6.48351
64,2.03336,6.04576
800,1.44739,6.49341
260,1.44772,7.24129
328,0.876172,7.21722
681,-0.712961,8.83782
69,-1.36342,8.80065
463,-1.68865,8.78206
257,-2.01388,8.76347
465,-2.33911,8.74488
30,-2.66434,8.7263
511,-2.71008,8.47352
464,-3.08105,8.20216
637,-3.05341,8.58169
510,-3.39674,8.68986
636,-3.51362,9.16143
321,-2.48456,9.06589
256,-2.95524,9.3683
320,-2.13306,9.63781
462,-1.49797,9.60815
229,-1.9998,8.0093
68,-2.63617,7.21796
791,-1.59369,7.97429
228,-1.18758,7.93928
997,-1.33483,7.76215
790,-1.07598,7.55001
996,-0.756744,7.93086
680,-0.569647,8.39248
367,0.648951,9.54971
188,1.32915,9.66193
677,0.634195,9.21631
366,0.61944,8.8829
676,1.15519,9.06576
244,-1.04761,9.842
